Ref,Part,Pin,Pin name,Net,Use,Notes
U1,nRF54L15-QFAA,1,P1.00/XL1,LFXO_XL1,32.768 kHz crystal,Reserved clock pin
U1,nRF54L15-QFAA,2,P1.01/XL2,LFXO_XL2,32.768 kHz crystal,Reserved clock pin
U1,nRF54L15-QFAA,3,P1.02/NFC1,GPIO_SPARE0,Reserved GPIO,NFC disabled
U1,nRF54L15-QFAA,4,P1.03/NFC2,DISP_PWR_EN,Display power/load-switch enable,NFC disabled
U1,nRF54L15-QFAA,5,P1.04/AIN0,SIDE_BUTTON,Physical side button,"Active-low, internal pull-up"
U1,nRF54L15-QFAA,6,P1.05/AIN1,PMIC_INT,nPM1300 event GPIO,Interrupt/wake
U1,nRF54L15-QFAA,7,P1.06/AIN2,HAPTIC_EN,Haptic enable/trigger reserve,DRV2605L still controlled by I2C
U1,nRF54L15-QFAA,8,P1.07/AIN3,BIO_SAFE_EN,Bio-board / electrode-disconnect control,Failsafe low/off
U1,nRF54L15-QFAA,9,P1.08/EXTREF,SPARE_CLK_GPIO,Reserved,Clock-capable
U1,nRF54L15-QFAA,10,VDD,+1V8,MCU supply,Tie to BUCK1
U1,nRF54L15-QFAA,11,P2.00/QSPI_D3,DISP_QSPI_D3,AMOLED QSPI D3,Dedicated QSPI
U1,nRF54L15-QFAA,12,P2.01/QSPI_SCK,DISP_QSPI_SCK,AMOLED QSPI clock,Dedicated QSPI
U1,nRF54L15-QFAA,13,P2.02/QSPI_D0,DISP_QSPI_D0,AMOLED QSPI D0,Dedicated QSPI
U1,nRF54L15-QFAA,14,P2.03/QSPI_D2,DISP_QSPI_D2,AMOLED QSPI D2,Dedicated QSPI
U1,nRF54L15-QFAA,15,P2.04/QSPI_D1,DISP_QSPI_D1,AMOLED QSPI D1,Dedicated QSPI
U1,nRF54L15-QFAA,16,P2.05/QSPI_CSN,DISP_QSPI_CS_N,AMOLED QSPI chip select,Dedicated QSPI
U1,nRF54L15-QFAA,17,P2.06/SPIM_SCK,AUX_SPI_SCK,Flash + Bio SPI clock,Separate SPIM bus
U1,nRF54L15-QFAA,18,P2.07/SWO/DCX,SWO,Optional SWO test pad,Preserve for debug in Rev.0
U1,nRF54L15-QFAA,19,P2.08/SPIM_SDO,AUX_SPI_MOSI,Flash + Bio SPI MOSI,Separate SPIM bus
U1,nRF54L15-QFAA,20,P2.09/SPIM_SDI,AUX_SPI_MISO,Flash + Bio SPI MISO,Separate SPIM bus
U1,nRF54L15-QFAA,21,P2.10/SPIM_CSN,FLASH_CS_N,External Flash chip select,GPIO-controlled CS
U1,nRF54L15-QFAA,22,VDD,+1V8,MCU supply,Tie to BUCK1
U1,nRF54L15-QFAA,23,P0.00,SYS_I2C_SDA,Shared I2C/TWI SDA,PMIC/touch/haptic/bio digital sensors
U1,nRF54L15-QFAA,24,P0.01,SYS_I2C_SCL,Shared I2C/TWI SCL,PMIC/touch/haptic/bio digital sensors
U1,nRF54L15-QFAA,25,SWDIO,SWDIO,SWD pogo pad,Dedicated
